Target,1,2,3,4,5, 6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NVDA,WDC,MCHP,AMD,ADSK,HPE,INTC,STX,SNPS,KEYS,TDY,TER,ANET,ZBRA,EA,GLW,PTC,SWKS,TTWO,NXPI,LUMN
NVR,LEN,DHI,PHM,LOW,HD,URI,KEY,WRB,FITB,FBHS,CINF,CBRE,AIZ,PNC,HIG,L,LNC,FRC,CFG,HBAN
NXPI,SWKS,AVGO,QRVO,AMD,MPWR,SNPS,MCHP,KLAC,WDC,TER,FTNT,KEYS,ADI,JNPR,GLW,LRCX,MU,GRMN,CSCO,AMAT
OXY,CVX,HES,VLO,XOM,OKE,MPC,COP,MRO,PSX,BKR,WMB,CTRA,ATO,DUK,EOG,SO,CNP,KMI,WEC,LYB
ODFL,JBHT,PCAR,FDX,UNP,WM,ATO,ZION,F,VLO,NSC,KMX,ALK,DUK,MRO,D,PSA,AAL,PGR,CHRW,EXR
OMC,AON,BR,ACN,PFG,ALLE,FISV,ORCL,STT,GWW,NLSN,GLW,AIZ,RE,L,J,FIS,DGX,MMC,PRU,HIG
OKE,WMB,CTRA,OXY,MPC,CNP,HES,XOM,MRO,KMI,COP,ATO,CVX,NI,WEC,SO,BRK-B,EVRG,XEL,NRG,SRE
ON,ADI,ENPH,APH,DD,TER,TDY,MPWR,QRVO,KEYS,AMAT,GNRC,TEL,GE,LIN,AVGO,SWKS,ANSS,PWR,NEE,CE
ORCL,CTXS,NOW,ANET,IBM,LUMN,ROP,EPAM,ACN,CSCO,FFIV,DXC,OMC,STX,NTAP,ADP,GLW,MSFT,J,CSGP,EMR
ORLY,AZO,GPC,AAP,APTV,SWK,GM,GWW,LOW,TSLA,CAT,KR,SNA,EMN,LKQ,KMX,FAST,AVY,MLM,LIN,DOV
OGN,PFE,HUM,BSX,BMY,BAX,HOLX,VTRS,CAH,GILD,MRK,KMB,JNJ,ABT,CI,WST,MCK,ABC,ABBV,COO,MDT
OTIS,JCI,AVB,LIN,EMR,AOS,WAB,MTD,EIX,FE,BBWI,GWW,CF,GE,GNRC,AWK,CAT,TER,HWM,VMC,TSLA
PCAR,F,ODFL,GM,CHRW,GPC,LKQ,KMX,TEL,ADM,COST,TRV,CAT,AMZN,PGR,WMT,ROK,VLO,AXP,COF,FBHS
PKG,IP,WRK,AMCR,MO,KR,AVY,NSC,RSG,IPG,CTAS,SHW,CAG,GWW,COST,DG,CHRW,PPG,ABC,HPQ,L
PH,IR,DOV,NDSN,PPG,APTV,FTV,HWM,AME,KEYS,APD,TDY,WAT,AVY,EMR,TER,LIN,ANSS,ADI,HON,EPAM
PAYX,PAYC,ADP,J,EFX,AON,GWW,PFG,MMC,CSGP,ROP,OMC,CME,HIG,DXC,STT,AIZ,BR,WAT,CTXS,RHI
PAYC,PAYX,ADP,CSGP,CTXS,INTU,EFX,VRSK,ROP,NOW,DXC,IBM,FLT,J,ANET,CDAY,MSFT,CTSH,MA,JKHY,FIS
PYPL,EBAY,NFLX,DFS,MA,VZ,EXPE,FLT,CPRT,DISH,ETSY,AMZN,CFG,BKNG,NWS,NWSA,CSGP,KMX,FISV,FIS,TMUS
PNR,POOL,AOS,MAS,ECL,XYL,TT,CL,NWL,TMO,EMR,WAT,BIO,ABC,BAX,COST,ALLE,ES,CLX,CARR,TECH
PEP,KO,K,SJM,STZ,CPB,GIS,MDLZ,KHC,COST,HSY,MNST,DG,TAP,HRL,BBWI,LW,CE,KDP,AMCR,YUM
PKI,TMO,TECH,BIO,ILMN,ECL,IDXX,AON,BAX,PFE,WST,BDX,HOLX,A,DGX,CAH,RMD,CTLT,ISRG,FTV,IQV
PFE,GILD,BMY,BAX,WST,BDX,TMO,MRK,CAH,ABC,OGN,MDT,CTLT,JNJ,VTRS,LLY,MRNA,TFX,REGN,HOLX,ABT
PM,MO,KO,MRO,VZ,DG,RSG,KDP,PKG,STZ,CNP,SJM,UPS,MPC,CI,IFF,WRB,COST,MDLZ,LNT,AMCR
PSX,BKR,KMI,SLB,AEE,OXY,HES,CVX,COP,MPC,WMB,WEC,MRO,CTRA,PEG,DVN,CNP,XOM,OKE,BWA,GE
PNW,EVRG,FE,NRG,NI,WEC,NEE,SRE,DUK,EIX,PPL,DTE,D,ETR,ATO,SO,CMS,AEE,CTRA,PEG,OKE
PXD,FANG,DVN,MRO,CTRA,EOG,ATO,XOM,SRE,NI,NEM,OKE,KMI,OXY,WMB,WEC,MPC,ODFL,PNW,PSX,CMS
POOL,PNR,MAS,AOS,ECL,WST,MDT,ABC,TECH,TMO,XYL,BAX,BIO,COST,CL,WAT,FAST,OTIS,EMR,BBWI,ALLE
PPG,AVY,PH,DOV,SNA,APD,NDSN,FTV,WRK,ALLE,MLM,APTV,GLW,DOW,EL,ANSS,SHW,GWW,TT,EMN,EPAM
PPL,NI,D,FE,DTE,NRG,ED,EVRG,SRE,WEC,DUK,ATO,ES,EIX,PNW,AWK,SO,NEE,CNP,PEG,AEE
PFG,STT,NTRS,SCHW,FIS,HIG,FISV,BAC,RE,BR,AON,C,AJG,AMP,RJF,IVZ,L,MS,CMA,AIZ,MSCI
PLD,KIM,SPG,ARE,BXP,AVB,HST,IRM,PSA,CPT,MAA,DRE,WY,UDR,VICI,VNO,EXR,ESS,AMT,VTR,O
PRU,AMP,WFC,BRO,C,GS,RE,LNC,L,BAC,SIVB,STT,HIG,PFG,FRC,AIG,BK,MET,MS,MSCI,RJF
PTC,DXC,HPE,ZBRA,MCHP,ISRG,SNPS,NOW,WAT,NVDA,EPAM,ANSS,CTXS,TRMB,AKAM,CDNS,TDY,ROP,ANET,TER,CSGP
PEG,NEE,WEC,FE,ES,DUK,NRG,ETR,NI,AEE,CMS,D,GE,SO,SLB,AEP,KMI,PNW,PPL,EVRG,EIX
PSA,EXR,AVB,PLD,DRE,ESS,MAA,O,ARE,KIM,ED,ATO,AAL,NI,ZION,D,PPL,FE,WEC,IRM,DTE
PHM,DHI,LEN,NVR,AVB,LOW,MAA,HD,BXP,AMT,FBHS,ESS,URI,CINF,AAL,CBRE,BEN,WRB,CPT,UNP,UAL
QRVO,GRMN,MSI,NXPI,SWKS,T,LUMN,AVGO,WDC,KEYS,TER,JNPR,ANET,FTNT,MCHP,APH,ZBRA,CSCO,ON,QCOM,ADI
QCOM,APH,CDW,QRVO,IEX,ADBE,TEL,SBAC,MSFT,DHR,T,HPQ,ON,DD,AMAT,XYL,IQV,TYL,VRSK,EFX,LUMN
PWR,IR,ANSS,EMR,AES,SEDG,ENPH,FTV,KEYS,ETN,AEP,ADI,APTV,GE,TT,XEL,APD,SLB,EPAM,ON,JCI
DGX,CAH,LH,ABC,TMO,TECH,BAX,WAT,BDX,IDXX,GWW,PFE,EPAM,ZBH,L,BIO,FTV,J,CI,CTLT,OMC
RL,TPR,AVY,NKE,EL,VFC,AMCR,ULTA,COST,IFF,LOW,ALLE,CE,BBY,KHC,CTAS,BBWI,SWK,IP,GWW,TJX
RJF,C,NTRS,MS,WFC,SIVB,BAC,GS,STT,SCHW,BR,AMP,PFG,FIS,BK,CMA,FISV,FITB,FRC,USB,HIG
RTX,BA,GD,LMT,HWM,TXT,NOC,IBM,HON,JCI,GE,TDG,LHX,BWA,TEL,BRO,INTU,MCK,CTSH,ETN,MSFT
O,PSA,MAA,ESS,PLD,AVB,UDR,HST,KIM,EXR,ARE,VTR,SPG,CPT,DRE,WY,BXP,MOH,IRM,ZION,CZR
REG,EQR,HST,BXP,UDR,KIM,VICI,SPG,FRT,PEAK,DLR,PLD,AMT,VTR,INVH,IRM,VNO,LVS,MAA,WELL,ARE
REGN,BMY,ABBV,MDT,BIIB,BAX,AMGN,PFE,GILD,WST,EW,ZBH,INCY,BDX,TFX,HOLX,RMD,ABMD,ABT,ALGN,BSX
RF,COF,TFC,CBRE,AXP,MTB,HBAN,BAC,TRV,WFC,FITB,CMA,NTRS,C,CFG,GS,SCHW,JPM,KEY,RJF,SIVB
RSG,WM,NSC,MLM,MPC,EMN,CHRW,GWW,L,OKE,APD,WRB,CSX,ECL,CNP,EXC,ORLY,EXPD,AIG,CINF,AIZ
RMD,CAH,BDX,BAX,ISRG,MDT,WST,BMY,ALGN,BIIB,TFX,ZBH,JNJ,REGN,GILD,TMO,ROP,VTRS,MRK,BSX,PFE
RHI,EFX,TEL,IQV,GPN,CDW,IT,VRSK,MSFT,ROK,J,IEX,HPQ,AXP,TYL,ICE,CBRE,DD,DHR,LDOS,TRV
ROK,TEL,HPQ,DD,DHR,EFX,CDW,RHI,APH,MHK,MSFT,SHW,GWW,JCI,LKQ,VRSK,CARR,IEX,TER,EMR,LIN
ROL,IDXX,ZTS,AIZ,CI,LOW,ROP,VRSK,COST,L,FMC,MRK,ABC,LEN,AON,FRC,HUM,CTAS,PAYX,ALLE,CL
ROP,EPAM,CTXS,ANSS,ORCL,TRMB,NOW,ANET,LUMN,IBM,DXC,FTV,PAYC,ACN,RMD,VRSK,ZBRA,MCHP,J,CDNS,KEYS
ROST,DLTR,WBA,TJX,TGT,BBWI,DG,FDX,VZ,KMX,ULTA,AVB,COST,MOH,KR,TPR,WMT,ODFL,EXR,AMZN,GL
RCL,CCL,NCLH,CPT,LUV,AAL,BBWI,HST,ESS,PSA,CZR,AVB,MOH,VICI,HLT,UHS,CMG,MAA,MGM,PLD,DIS
SPGI,AMP,PFG,FIS,C,SCHW,FISV,MSCI,WFC,BAC,MS,STT,NWS,NWSA,GS,AJG,SIVB,NTRS,JPM,CBOE,ICE
CRM,DXC,NOW,CSGP,PTC,ADP,DLR,CTXS,ANET,AKAM,CTSH,HPE,NLOK,IBM,FFIV,FLT,ORCL,TRMB,PAYC,INTU,PAYX
SBAC,QCOM,T,CHTR,LUMN,QRVO,MSI,GRMN,AIZ,ROP,ENPH,ANET,CMCSA,VZ,CCI,DLR,NLSN,ADBE,DXC,ZBRA,TROW
SLB,BKR,GE,PSX,JCI,NRG,AEE,BWA,KMI,WEC,SO,PEG,HES,MMM,NEE,DUK,D,CMI,FE,CMS,XEL
STX,WDC,HPE,LUMN,NVDA,ANET,ZBRA,SWKS,ORCL,INTC,GLW,JNPR,MCHP,ALLE,FTNT,DOV,AVY,WAT,CTXS,KEYS,CSCO
SEE,HRL,MKC,GIS,SYY,CPB,TSN,ITW,SJM,K,CAG,LW,KHC,ZTS,AMCR,ADM,IFF,BIO,MCD,COST,CTVA
SRE,NI,ATO,D,DUK,PPL,FE,WEC,NRG,PNW,CNP,DTE,EVRG,AEE,CMS,SO,MRO,XOM,EIX,ES,ED
NOW,CTXS,ORCL,ANET,FFIV,ADP,EPAM,NTAP,AKAM,MSFT,ACN,DXC,IBM,ROP,LUMN,ANSS,PAYC,CTSH,FTV,J,CRM
SBNY,CMA,BAC,STT,FRC,CFG,USB,C,FIS,MTB,WFC,MS,SCHW,MA,PFG,PNC,SIVB,HIG,RJF,BK,FISV
SPG,PLD,KIM,VICI,BXP,AMT,HST,IRM,EQR,CPT,WY,REG,UDR,DRE,AVB,MAA,ARE,EXR,VTR,VNO,O
SWKS,NXPI,AVGO,KEYS,GLW,APH,QRVO,KLAC,LUMN,WDC,TER,MPWR,ADI,INTC,ANET,AMD,JNPR,MCHP,CSCO,SNPS,STX
SNA,DOV,SWK,ALLE,GWW,PPG,AVY,FAST,FTV,GPC,WRK,APTV,PH,AZO,MLM,ZBH,DOW,NDSN,DGX,APD,LIN
SEDG,ENPH,PWR,GE,NRG,SLB,CMI,MPWR,GNRC,AEP,AES,XEL,EMR,AOS,LIN,MTD,NEE,ETR,IR,WEC,ON
LUV,AAL,DAL,BA,ALK,UAL,NFLX,NCLH,AVB,MGM,CZR,VZ,CCL,ZION,DRI,VICI,UHS,GD,MAA,BBWI,TMUS
SWK,EMR,GWW,SNA,LIN,GPC,DOV,FAST,AVY,CAT,ORLY,AME,JCI,ALLE,AZO,DOW,TT,AMCR,AAP,IR,URI
STT,MS,BR,PFG,BAC,C,SCHW,FIS,USB,FISV,CMA,NTRS,HIG,SBNY,CME,BLK,IVZ,RJF,RE,GS,BK
STE,ABT,CLX,MCK,CTLT,BAX,VTRS,HOLX,CAH,ZBH,BDX,HSIC,TMO,MDT,RMD,CTSH,MMM,MRK,JNJ,ECL,BRO
SYK,ZBH,ALGN,BIIB,CAH,VRTX,RMD,GILD,HOLX,ABBV,BDX,MRK,ABT,BMY,WST,MDT,COO,INCY,STE,TFX,REGN
SIVB,GS,WFC,AMP,C,JPM,HBAN,RJF,BAC,NTRS,MS,CMA,JKHY,BRO,MSCI,SCHW,FIS,PRU,STT,USB,BK
SYF,KEY,USB,COF,CFG,FITB,BAC,FRC,CMA,HBAN,PNC,DFS,TFC,MA,AMP,WFC,JKHY,BK,SBNY,HIG,RF
SNPS,CDNS,LRCX,ADI,KEYS,MCHP,TER,AVGO,MPWR,KLAC,NXPI,ANSS,SWKS,AMD,NVDA,EPAM,ZBRA,TXN,FTNT,PTC,CSCO
SYY,KHC,GIS,CAG,HRL,LW,CPB,K,COST,SJM,TGT,MKC,HSY,CTAS,MDLZ,SEE,AMCR,KR,DG,ADM,FAST
TTWO,EA,ATVI,DIS,HAS,GOOG,GOOGL,ZBRA,NVDA,GRMN,CPRT,NFLX,WDC,EXPE,NWS,NWSA,ETSY,ANET,STX,MGM,DXC
TPR,VFC,RL,ULTA,KMB,HSY,COST,BBWI,SJM,CHD,CE,DG,NKE,OGN,GOOGL,GOOG,MDLZ,MNST,HPQ,SHW,EL
TGT,KR,CAG,GIS,HRL,COST,SYY,WBA,BBWI,WMT,SJM,CPB,KMX,BBY,K,ULTA,DG,KHC,MCD,ROST,AMZN
TEL,APH,ROK,DD,CDW,HPQ,DHR,IEX,EFX,MSFT,LDOS,RHI,GPN,IQV,CARR,SHW,VRSK,LKQ,LIN,XYL,ANET
TDY,ADI,KEYS,EMR,DXC,FTV,LIN,GLW,PH,MCHP,DOW,ANSS,EPAM,TER,CTSH,NVDA,IR,ANET,ZBRA,AVY,INTC
TFX,BDX,MDT,BAX,PFE,WST,BMY,ISRG,RMD,REGN,BSX,EW,CAH,GILD,ZBH,ALGN,AMGN,OGN,ABC,VTRS,TMO
TER,KLAC,AVGO,LRCX,ZBRA,KEYS,CDNS,ADI,SNPS,INTC,ANSS,TXN,AMD,MPWR,AME,SWKS,FTV,DD,MCHP,AMAT,DOV
TSLA,BWA,AME,GM,EMR,LIN,AAP,ZBRA,ORLY,BBY,GWW,APTV,ETR,EXC,CMI,MPC,AZO,CF,VLO,TXN,SWK
TXN,AME,MPWR,ADI,AVGO,TER,KLAC,ZBRA,INTC,GLW,JNPR,APTV,SWKS,MCHP,LRCX,SNPS,EMR,WAT,KEYS,NDSN,IR
TXT,BA,TDG,RTX,NOC,GD,HON,DAL,HWM,EXPD,LHX,EMR,GPC,GWW,AVY,UAL,TEL,SWK,AAL,AIG,LMT
AES,AEP,XEL,EXC,NEE,ETR,SO,NRG,CNP,PWR,AEE,DUK,ENPH,LNT,WEC,GE,SEDG,SLB,EVRG,EMR,FE
ALL,AIG,CB,HIG,L,BRO,RE,CTAS,AJG,CI,PGR,RJF,AIZ,PRU,WRB,TRV,BAC,EXC,LNC,CINF,PFG
BK,C,MS,BAC,USB,FRC,WFC,KEY,FIS,CFG,STT,PNC,GS,COF,CMA,RJF,AMP,FISV,MA,PRU,NTRS
BA,RTX,GD,TXT,NOC,HON,LMT,HWM,TDG,IBM,LUV,GE,LHX,AAL,EXPD,JCI,BWA,UAL,ETN,HPQ,BRO
SCHW,NTRS,STT,PFG,MS,CMA,C,FISV,BAC,GS,AJG,FIS,RJF,AMP,USB,SIVB,BR,SBNY,RF,MMC,HIG
CLX,STE,CTLT,ABT,PG,CL,MCK,MMM,IFF,VTRS,WHR,BAX,HOLX,ECL,BBWI,BIO,JNJ,CAH,AMCR,BRO,TMO
KO,PEP,BF-B,MNST,STZ,KDP,KHC,MDLZ,IFF,COST,CE,DG,AMCR,TAP,CPB,AVY,SJM,EL,ABC,BBWI,HSY
COO,HOLX,ZBH,OGN,ALGN,CAH,REGN,JNJ,BDX,WST,RMD,BAX,MDT,BIIB,ABT,TFX,CTLT,PFE,AMGN,BMY,ABBV
EL,IFF,PG,CL,AVY,RL,PPG,JNJ,CTLT,CLX,ALLE,CE,REGN,BMY,GLW,KO,ULTA,KMB,APD,PFE,MDT
GS,SIVB,MS,AMP,WFC,NTRS,MSCI,HBAN,C,RJF,BAC,JKHY,JPM,SCHW,STT,BK,PRU,BRO,USB,COF,RF
HIG,L,AIG,BAC,AJG,RE,USB,WRB,PFG,STT,BRO,ALL,AMP,CB,C,CMA,MS,WFC,AIZ,PRU,PNC
HSY,SJM,MDLZ,K,CHD,GIS,HRL,LW,CPB,MNST,KHC,COST,CAG,MKC,DG,SYY,WMT,PEP,YUM,MOS,DPZ
HD,LOW,LEN,NVR,DHI,URI,FBHS,PHM,COST,AIZ,WHR,NWL,KR,SHW,SWK,ROL,MAS,CL,HIG,ORLY,ALLE
IPG,NLSN,OMC,WRB,UAL,MCO,BR,AAL,ICE,NWS,NWSA,AXP,PRU,FISV,EFX,C,VRSK,IP,EXPD,CHRW,AMP
SJM,HSY,HRL,GIS,MDLZ,K,CHD,CPB,PEP,MKC,MNST,ADM,KHC,CE,COST,LW,SYY,CAG,DG,MOS,KDP
KHC,SYY,COST,CPB,LW,GIS,HRL,K,MDLZ,SJM,CAG,PEP,HSY,DG,KO,IFF,BBY,AMCR,CTAS,MKC,KDP
KR,COST,TGT,LOW,CAG,KDP,WBA,WMT,ABC,PNC,GIS,KMX,DG,ORLY,AMCR,HRL,GWW,SJM,BBY,CPB,AIZ
MOS,SJM,ADM,HSY,BRK-B,CHD,ALB,CE,OXY,APH,VLO,FBHS,MPC,DUK,COF,NSC,IEX,MHK,MNST,VMC,TEL
PNC,FITB,KEY,BAC,CFG,C,USB,WFC,FRC,JKHY,BK,HBAN,SYF,MTB,FIS,CMA,HIG,COF,SBNY,AMP,STT
PG,CL,CLX,IFF,NWL,EL,BBWI,JNJ,KMB,ULTA,ABT,CHD,CTLT,WBA,BAX,PFE,COO,OGN,STE,GIS,MAS
PGR,TRV,L,AXP,COF,CINF,TFC,HUM,AIG,WRB,TYL,ALL,HIG,SYF,RF,CI,CBRE,BRO,LNC,CB,AJG
TMO,BIO,TECH,PKI,ILMN,PFE,BAX,BDX,CAH,ECL,CTLT,IDXX,DHR,DGX,MRK,ABC,GILD,WST,BMY,MDT,A
SHW,FBHS,MHK,HPQ,CHD,TEL,VFC,KMB,DD,DHR,CARR,ROK,APH,IEX,AVY,EFX,RHI,CDW,CE,LKQ,PPG
SO,WEC,XEL,DUK,NRG,NEE,CNP,NI,AEP,EVRG,XOM,FE,D,ETR,AES,OKE,MPC,LNT,PEG,SLB,PPL
TJX,BBWI,COST,ROST,WHR,CAG,BRO,LOW,INTU,KR,CTAS,RL,TGT,BBY,SYY,K,ULTA,VFC,KHC,ALL,TPR
TRV,PGR,AXP,CBRE,RF,EFX,L,COF,TFC,WRB,HIG,ICE,AJG,AIG,TYL,RE,LNC,HUM,GPN,BRO,PFG
DIS,CMCSA,TTWO,LVS,NFLX,MGM,EA,HAS,ATVI,HLT,CZR,NWS,NWSA,MAR,DISH,NLSN,EXPE,CCL,NCLH,FOX,FOXA
WMB,OKE,MPC,HES,CVX,KMI,MRO,CTRA,OXY,COP,BKR,PSX,CNP,AEE,XOM,WEC,NRG,SO,ETR,SLB,DVN
TMUS,VZ,T,WDC,LUMN,COST,GOOG,GOOGL,CCI,AAPL,QRVO,GRMN,ANET,DISH,FRC,NFLX,KMX,CHTR,ZION,MSI,ALLE
TSCO,DE,NSC,ADM,LOW,KR,FMC,COST,CTVA,LEN,ODFL,HD,HRL,ORLY,GIS,DG,GM,ROL,URI,DHI,NVR
TT,EMR,NDSN,APD,IR,MAS,FTV,GWW,JCI,ALLE,LIN,DOV,AOS,WAT,AME,SWK,AVY,APTV,FAST,ACN,ECL
TDG,HON,TXT,NOC,BA,ETN,RTX,HWM,APD,LHX,GD,APTV,IR,EXPD,PH,BWA,EMR,DOV,LMT,AVY,JCI
TRMB,ANSS,EPAM,FTV,ACN,ROP,DXC,NOW,TDY,KEYS,PTC,CTXS,SNA,ADSK,LHX,PAYX,CDNS,TER,APTV,EMR,ADP
TROW,CBRE,BLK,RF,IVZ,IT,COF,EFX,ADBE,RJF,RHI,TFC,FITB,TYL,VRSK,JPM,STT,AXP,ICE,AMT,MS
TFC,COF,RF,HBAN,FRC,TRV,USB,SYF,KEY,WFC,AXP,BAC,FITB,JPM,AMP,NTRS,PGR,GS,SBNY,RE,SIVB
TWTR,ADBE,BR,EBAY,FLT,AKAM,MA,NWSA,NWS,MKTX,EXPE,FISV,KDP,NLSN,CRM,EQIX,DXC,NTAP,VRSN,GOOG,GOOGL
TYL,EFX,TRV,GPN,VRSK,AXP,RHI,PGR,CDW,IQV,IEX,CBRE,COF,RF,XYL,TEL,ICE,HUM,IT,ADBE,MSFT
TSN,HRL,SEE,LW,MCD,GIS,YUM,SYY,K,ADM,CPB,DRI,SJM,ZTS,CAG,DE,IDXX,TGT,DPZ,MOS,NSC
UDR,HST,ARE,BXP,MAA,VTR,CPT,IRM,PLD,KIM,VNO,EQR,ESS,VICI,REG,WY,SPG,PEAK,O,AVB,EXR
ULTA,BBWI,WBA,RL,PG,TPR,TGT,KR,EL,ABT,LOW,COST,CHD,OGN,KMX,TJX,ROST,KDP,CL,CLX,KMB
UNP,NSC,CSX,WAB,OKE,XOM,WEC,BRK-B,NEE,KMI,ODFL,MPC,ETR,MRO,WM,PEG,ATO,CAT,CTRA,CNP,EVRG
UAL,AAL,DAL,EXPD,LUV,IPG,LNC,RE,RTX,AIZ,CHRW,NLSN,TXT,WRB,AXP,AIG,BA,TDG,TEL,AVB,RHI
UNH,MCK,GL,CNC,CVS,VTRS,CI,ABT,LNC,HUM,BRO,MET,CAH,UHS,HCA,CTLT,HOLX,OGN,WFC,MRK,AMP
UPS,EXPD,DAL,CHRW,L,GWW,WRB,RE,AIZ,HIG,AJG,MA,AMCR,CME,WRK,AIG,UAL,VZ,GPN,CI,AXP
URI,NVR,LOW,HD,LEN,SWK,DHI,GWW,CHRW,WRB,GPC,NSC,AIZ,L,FBHS,EMR,COST,PAYX,CINF,MLM,JCI
UHS,VTRS,HCA,MCK,ABT,CAH,UNH,AAL,CI,BBWI,MET,BAX,BSX,MRK,ZION,BRO,STE,GL,HUM,OGN,AWK
USB,BAC,KEY,CFG,CMA,C,PNC,SYF,MS,HBAN,STT,HIG,MTB,BK,WFC,COF,FITB,AMP,FRC,SCHW,SBNY
VLO,OXY,MPC,XOM,DUK,WEC,CMI,ALB,CF,CE,LNT,MNST,BWA,OKE,COP,ATO,CNP,SRE,SO,NSC,NRG
VTR,WELL,UDR,PEAK,HST,ARE,PLD,IRM,EQR,VICI,CPT,SPG,MAA,O,BXP,VNO,REG,WY,KIM,ESS,DLR
VRSN,ANET,CSCO,FTNT,LUMN,AKAM,CTXS,T,ORCL,ICE,NOW,MSI,JNPR,FFIV,MSFT,EPAM,VZ,FISV,BR,NLOK,CDAY
VRSK,EFX,IQV,GPN,CDW,RHI,TEL,TYL,AXP,BR,IT,DXC,ADBE,MSFT,HPQ,PAYC,ROP,TRV,LDOS,MA,ROK
VZ,TMUS,T,CHTR,DISH,LUMN,ANET,WDC,AIZ,NFLX,COST,JNPR,PYPL,FRC,CI,STX,MA,PRU,BBY,GOOG,GOOGL
VRTX,INCY,BIIB,ABBV,GILD,BMY,SYK,HOLX,AMGN,MRNA,REGN,ALGN,LLY,ABMD,TECH,CDNS,DXCM,LH,CAH,BSX,WST
VFC,TPR,SHW,KMB,TEL,APH,NKE,RL,HPQ,COST,TRV,IEX,EFX,AIZ,CDW,DHR,CE,AMCR,FBHS,AXP,GWW
VTRS,MCK,ABT,CAH,MRK,BAX,CTLT,PFE,STE,ZBH,UNH,ABC,BDX,HOLX,HCA,GILD,OGN,UHS,JNJ,CLX,TMO
VICI,HST,WYNN,BXP,CZR,SPG,MGM,PLD,KIM,AMT,IRM,CPT,LVS,UDR,REG,EQR,AVB,VTR,WY,DRI,MAA
VNO,ARE,CPT,KIM,UDR,PLD,AVB,EQR,IRM,BXP,MAA,HST,SPG,EXR,FRT,VTR,WELL,DRE,ESS,VICI,WY
VMC,MLM,CAT,MMM,JCI,HWM,NUE,NSC,CSX,FCX,BKR,MPC,LKQ,WM,ZION,FAST,PNW,KMI,LIN,CF,ALB
WBA,BBWI,ULTA,ABC,TGT,KR,VTRS,MCK,OGN,LLY,ABT,MRK,ROST,CAH,KDP,COST,PG,CI,VZ,PFE,GILD
WMT,AMZN,KR,HSY,TGT,COST,SJM,FBHS,EXPE,GPN,AXP,CPRT,WBA,ICE,YUM,MGM,F,COF,MNST,CDW,CAG
WM,RSG,ATO,XOM,ODFL,NI,WEC,DTE,UNP,ES,VLO,OKE,CAT,JBHT,VMC,CMS,NEE,FE,AWK,DUK,ETR
WAT,TECH,NDSN,AME,EPAM,GWW,EMR,IR,MTD,DOV,FTV,DGX,CDNS,J,PH,TT,ACN,TER,ZBRA,LIN,DXC
WEC,NRG,NI,FE,DUK,PEG,SO,AEE,NEE,EVRG,D,PNW,PPL,AEP,SRE,KMI,ATO,CMS,CNP,ETR,XEL
WFC,SIVB,BAC,AMP,HBAN,C,FITB,JKHY,GS,FRC,RJF,PNC,KEY,JPM,MS,BRO,USB,CMA,LNC,BK,PRU
WELL,VTR,PEAK,MAA,EQR,AVB,PLD,ARE,ESS,HST,VNO,PSA,KIM,WY,UNH,UDR,BXP,SPG,CPT,IRM,BBWI
WDC,STX,NVDA,MCHP,INTC,ANET,BBY,HPE,SWKS,AAPL,GLW,QRVO,NXPI,GOOGL,GOOG,AVY,JNPR,ALLE,LUMN,CSCO,FTNT
WAB,UNP,CSX,IR,NSC,TSLA,OTIS,TER,JCI,ORLY,ETR,APTV,EMR,URI,ZBRA,GWW,LIN,MLM,CMI,PEG,CHRW
WST,PFE,BMY,GILD,BDX,MDT,BAX,TFX,ABC,CAH,REGN,RMD,TMO,MRK,CTLT,ABBV,ISRG,EW,OGN,BSX,ZBH
WRK,IP,PKG,AMCR,GWW,DOV,ZBRA,AVY,APH,DOW,FAST,PPG,SNA,MLM,NDSN,IR,SWK,LUMN,DD,GLW,ALLE
WY,CPT,PLD,BXP,HST,KIM,AMT,UDR,IRM,SPG,ARE,AVB,PSA,VICI,DRI,DTE,EXR,DRE,VTR,WELL,MAA
WHR,NWL,JCI,CLX,COST,MMM,LOW,GIS,K,DE,MAS,FBHS,GNRC,GE,BWA,BBWI,EMR,TJX,AOS,LEN,MTD
WRB,L,HIG,AJG,RE,AIG,TRV,KEY,USB,CINF,LNC,STT,SCHW,C,BRO,PFG,BAC,AIZ,PRU,AMP,FISV
GWW,FAST,ALLE,EMR,SWK,DOV,CTAS,LIN,COST,WAT,SNA,CHRW,TT,GPC,APTV,ANET,JCI,AMCR,AVY,J,AME
WYNN,VICI,CZR,MGM,HST,IRM,PLD,DRI,KIM,SPG,EXR,LVS,PSA,AVB,CCI,DRE,LUV,NFLX,OTIS,EQR,CCL
XEL,AES,AEP,SO,EXC,CNP,NEE,ETR,NRG,WEC,BRK-B,AEE,EVRG,LNT,OKE,DUK,HES,ENPH,MPC,SLB,LIN
XYL,IEX,DHR,CARR,TEL,APH,FBHS,DD,PNR,CDW,IQV,MHK,KMB,AOS,RHI,BSX,TYL,EFX,LDOS,SHW,GPN
YUM,MCD,DPZ,DRI,K,HRL,CMG,HSY,CPB,EXR,SJM,CAG,TGT,PEP,GIS,LW,TSN,ZION,WMT,MGM,COST
ZBRA,TER,CDNS,DXC,TECH,STX,AME,WRK,MCHP,WAT,LUMN,TXN,EPAM,PH,ANSS,ROP,GWW,WDC,MSI,PTC,KEYS
