Target,1,2,3,4,5, 6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CHRW,GWW,EXPD,CSX,WRB,NSC,RE,C,L,AJG,AIZ,HIG,TEL,URI,JCI,FAST,LNC,AIG,FISV,AMP,WRK
CB,AIG,ALL,HIG,L,BRO,WFC,RE,BAC,CI,AIZ,CTAS,PNC,TRV,WRB,PRU,PGR,BRK-B,GWW,RJF,COST
CHD,HSY,SJM,KMB,FBHS,SHW,MHK,CE,BBWI,CL,PG,MOS,MDLZ,COST,MAS,MNST,TPR,CARR,GIS,VFC,NWL
CI,CVS,HUM,HCA,L,CNC,UNH,MET,ABC,HIG,MCK,AIG,OGN,CAH,AIZ,ALL,DGX,RE,MRK,TRV,VTRS
CINF,MET,L,WRB,LNC,PGR,HIG,TRV,BRO,CI,AIG,GL,AJG,TFC,RE,HBAN,PRU,WFC,ALL,KEY,FRC
CTAS,GWW,COST,ALL,AIG,FAST,GM,AIZ,BRO,AMCR,RE,AVY,CB,KHC,EMR,SWK,ALLE,HIG,OMC,BBY,SYY
CSCO,ANET,JNPR,FTNT,LUMN,MCHP,ORCL,AKAM,T,SWKS,FFIV,WDC,VRSN,CTXS,GLW,MSI,NLOK,ALLE,EPAM,NOW,SNPS
C,BAC,FIS,MS,WFC,SIVB,CMA,RJF,BK,STT,FISV,PNC,USB,NTRS,CFG,AMP,GS,KEY,SCHW,FRC,BR
CFG,KEY,BAC,USB,PNC,MTB,FRC,CMA,C,SYF,HBAN,DFS,FITB,WFC,COF,FIS,BK,SBNY,FISV,RF,JKHY
CTXS,NOW,FFIV,ORCL,ANET,EPAM,ADP,LUMN,ROP,NTAP,IBM,ACN,AKAM,CSGP,MSFT,DXC,PAYC,J,ALLE,FIS,FTV
CME,STT,L,AON,AJG,MS,BR,RE,PFG,HIG,AIG,MKTX,C,MA,SCHW,FISV,CMA,MMC,NDAQ,FIS,ICE
CMS,DTE,DUK,WEC,NI,D,AEE,LNT,PEG,FE,NRG,SRE,KMI,NEE,EVRG,PNW,ES,ATO,SLB,SO,PPL
CTSH,IBM,DXC,J,ACN,MMM,TDY,INTU,JCI,BRO,GE,EMR,NOW,ROP,IQV,STE,CTLT,CTXS,ANET,AMP,ADP
CL,PG,IFF,JNJ,CLX,COST,EL,CTLT,ABC,MRK,BAX,PFE,HSIC,NWL,IDXX,KMB,BBWI,AMCR,CHD,WST,MKC
CMCSA,LUMN,NLSN,DIS,T,MAR,NWSA,NWS,EXPE,VZ,ETN,ADBE,NFLX,ANET,CHTR,AIZ,STX,FISV,DISH,FOX,FOXA
CMA,BAC,SBNY,C,USB,CFG,MTB,SCHW,FIS,STT,MS,WFC,FISV,SIVB,KEY,SYF,HIG,BK,PFG,AMP,FRC
CAG,SYY,HRL,K,GIS,TGT,LW,KR,KHC,CPB,HSY,SJM,COST,KDP,YUM,TJX,MKC,MDLZ,DG,BBY,AMCR
COP,HES,XOM,OXY,CVX,OKE,MPC,BKR,KMI,CTRA,MRO,WMB,PSX,CMI,VLO,WEC,SO,SLB,EOG,BRK-B,XEL
ED,PPL,DTE,D,DUK,FE,NI,ATO,AWK,SRE,EIX,PSA,EVRG,PNW,CMS,NRG,AVB,ES,WEC,TMUS,CCI
STZ,BF-B,TAP,KO,PEP,KDP,MNST,COST,BBWI,KHC,VLO,CPB,AVY,SJM,AMCR,CE,HSY,MO,DG,CCL,MAR
CPRT,AMZN,EXPE,EA,ATVI,BKNG,CSGP,IT,FLT,TTWO,GOOG,GOOGL,GPN,ETSY,PYPL,MKTX,INTU,VRSK,ANET,KMX,ADBE
GLW,AVY,LUMN,SWKS,ALLE,DOV,TDY,WDC,ANET,INTC,DOW,KEYS,DD,MCHP,OMC,STX,APH,CSCO,CE,EMR,HPQ
CTVA,FMC,IDXX,ZTS,ILMN,ADM,ROP,ROL,BIO,TECH,SEE,TSCO,PKI,IFF,DE,MKC,TMO,NSC,PTC,ZBRA,DXC
CSGP,DXC,FIS,BR,AIZ,MA,CTXS,FISV,PAYC,ANET,EXPE,FLT,ADP,C,INTU,MS,MKTX,IBM,LUMN,NWSA,NWS
COST,KR,CTAS,GWW,LOW,DG,KHC,AMCR,GIS,AIZ,BBWI,FAST,AVY,BBY,CL,ABC,GM,SYY,TGT,CPB,ALLE
CTRA,MRO,DVN,XOM,FANG,PXD,OKE,HES,EOG,WMB,CVX,MPC,COP,ATO,OXY,NI,WEC,FCX,PNW,KMI,SRE
CCI,TMUS,DTE,DLR,T,IRM,ED,VZ,EIX,FE,EXR,PPL,SPG,OTIS,AWK,PLD,EVRG,D,DRE,CHTR,WYNN
CSX,NSC,CHRW,BRK-B,UNP,OKE,XEL,WAB,CAT,EXC,FAST,VMC,BKR,AEP,GWW,HES,SO,SLB,EVRG,RSG,LIN
CMI,BWA,CF,MPC,MTD,WEC,LIN,VLO,GE,NRG,COP,SLB,AOS,LYB,SO,GNRC,TSLA,CAT,EMR,HES,SEDG
CVS,CI,HCA,CNC,HUM,UNH,MCK,ABC,CAH,MRK,VTRS,BAX,DGX,L,OGN,AON,HIG,TMO,ECL,LNC,WRB
DHR,IEX,DD,TEL,BSX,XYL,APH,IQV,TECH,CDW,TMO,ROK,LDOS,HPQ,MSFT,BIO,SHW,KMB,CARR,EFX,WAT
DRI,YUM,MCD,EXR,CMG,DPZ,K,TGT,VICI,BBWI,WY,HRL,LW,LUV,AVB,ZION,MGM,TSN,CZR,PSA,CPB
DVA,ABMD,ABBV,BSX,REGN,ZBH,CAH,BAX,ABT,DXCM,STE,MDT,VTRS,HCA,LLY,AMGN,EW,UHS,HOLX,MCK,BDX
DE,ADM,NSC,WHR,SWK,JCI,BRO,GE,MMM,CAT,TSCO,BWA,GM,FMC,FAST,MTD,GWW,CHRW,RTX,JBHT,HWM
DAL,AAL,UAL,EXPD,EXPE,TXT,WRB,LUV,COST,CHRW,NWSA,NWS,FISV,GWW,TDG,ETSY,C,CSGP,AIZ,HIG,AJG
XRAY,HSIC,ALGN,CL,ZBH,STE,BMY,IDXX,ISRG,BDX,BIO,TECH,SYK,MDT,SNA,RMD,BAX,WST,ABC,MAS,JNJ
